zip|type|decommissioned|primary_city|acceptable_cities|unacceptable_cities|state|county|timezone|area_codes|world_region|country|latitude|longitude|irs_estimated_population
33146|STANDARD|0|Miami|Coconut Grove, Coral Gables, South Miami|Univ Of Miami, University Of Miami|FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.72|-80.27|10670
33147|STANDARD|0|Miami||Dr Martin Luther King Jr|FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.85|-80.24|42420
33148|UNIQUE|1|Miami||Eastern Airlines|FL|Miami-Dade County|America/New_York|786|NA|US|25.79|-80.31|49
33149|STANDARD|0|Key Biscayne|Miami||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.68|-80.16|12070
33150|STANDARD|0|Miami|El Portal, Miami Shores||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.85|-80.21|24550
33151|PO BOX|0|Miami|||FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|175
33152|PO BOX|0|Miami|||FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|1754
33153|PO BOX|0|Miami|Miami Shores||FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|548
33154|STANDARD|0|Miami Beach|Bal Harbour, Bay Harbor Is, Bay Harbor Islands, Ind Crk Vlg, Indian Creek Village, Miami, Surfside|Indian Creek|FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.88|-80.13|12990
33155|STANDARD|0|Miami||West Miami|FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.74|-80.31|40170
33156|STANDARD|0|Miami|Coral Gables, Kendall, Pinecrest|Gables By The Sea, Richmond Heights, Village Of Pinecrest|FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.67|-80.3|30440
33157|STANDARD|0|Miami|Cutler Bay, Cutler Ridge, Palmetto Bay, Perrine, Village Of Palmetto Bay|S Miami Hts, South Miami Heights|FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.61|-80.34|61000
33158|STANDARD|0|Miami|Coral Gables, Palmetto Bay, Village Of Palmetto Bay|C Gables, Coral Gbls, Gables, Richmond Heights|FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.64|-80.31|6130
33159|PO BOX|1|Miami|||FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|134
33160|STANDARD|0|North Miami Beach|Aventura, Golden Beach, Miami, N Miami Beach, Sunny Isl Bch, Sunny Isles Beach||FL|Miami-Dade County|America/New_York|305, 754, 786, 954|NA|US|25.93|-80.14|36970
33161|STANDARD|0|Miami|Biscayne Park, Miami Shores, North Miami|Barry University|FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.89|-80.18|44010
33162|STANDARD|0|Miami|N Miami Beach, North Miami Beach, Uleta||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.93|-80.18|40700
33163|PO BOX|0|Miami|Ojus||FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|160
33164|PO BOX|0|Miami|N Miami Beach, North Miami Bch, North Miami Beach, Uleta||FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|447
33165|STANDARD|0|Miami|Olympia Heights, Olympia Hgts|Westchester|FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.73|-80.36|49360
33166|STANDARD|0|Miami|Doral, Medley, Miami Springs, Virginia Gardens, Virginia Gdns||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.82|-80.3|25100
33167|STANDARD|0|Miami|Miami Shores, North Miami||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.88|-80.24|17780
33168|STANDARD|0|Miami|Miami Shores, North Miami||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.89|-80.21|25160
33169|STANDARD|0|Miami|Miami Gardens, N Miami Beach, North Miami Beach||FL|Miami-Dade County|America/New_York|305, 754, 786, 954|NA|US|25.94|-80.21|37720
33170|STANDARD|0|Miami|Goulds, Quail Heights|Cutler Ridge|FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.56|-80.46|14930
33172|STANDARD|0|Miami|Doral, Sweetwater|West Miami|FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.79|-80.36|37540
33173|STANDARD|0|Miami|||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.7|-80.36|29560
33174|STANDARD|0|Miami||Sweetwater, West Miami|FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.76|-80.36|26750
33175|STANDARD|0|Miami|Olympia Heights, Olympia Hgts||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.73|-80.41|49930
33176|STANDARD|0|Miami|Palmetto Bay|Richmond Heights|FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.66|-80.36|46550
33177|STANDARD|0|Miami|Quail Heights||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.6|-80.4|53530
33178|STANDARD|0|Miami|Doral, Medley||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.85|-80.41|58840
33179|STANDARD|0|Miami|Miami Gardens, N Miami Beach, North Miami Beach||FL|Miami-Dade County|America/New_York|305, 754, 786, 954|NA|US|25.96|-80.18|40670
33180|STANDARD|0|Miami|Aventura||FL|Miami-Dade County|America/New_York|305, 754, 786, 954|NA|US|25.96|-80.14|29590
33181|STANDARD|0|Miami|N Miami Beach, North Miami, North Miami Beach|Biscayne Park, Nmb|FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.9|-80.15|16210
33182|STANDARD|0|Miami|Doral|Sweetwater, West Miami|FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.78|-80.41|13090
33183|STANDARD|0|Miami|Kendall||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.7|-80.4|32970
33184|STANDARD|0|Miami||Sweetwater|FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.76|-80.41|18730
33185|STANDARD|0|Miami|Olympia Heights, Olympia Hgts||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.73|-80.45|27640
33186|STANDARD|0|Miami||Crossings|FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.65|-80.41|64090
33187|STANDARD|0|Miami|Quail Heights||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.6|-80.51|18610
33188|UNIQUE|0|Miami||Florida Power & Light Co|FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|35
33189|STANDARD|0|Miami|Cutler Bay, Quail Heights|Cutler Ridge|FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.57|-80.34|22930
33190|STANDARD|0|Miami|Cutler Bay, Quail Heights|Cutler Ridge|FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.56|-80.35|13580
33191|UNIQUE|0|Miami|Doral|Reshipper|FL||America/New_York|305, 786|NA|US|25.77|-80.2|0
33192|UNIQUE|0|Miami|Doral|Reshipper|FL||America/New_York|305, 786|NA|US|25.77|-80.2|550
33193|STANDARD|0|Miami|||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.7|-80.47|43090
33194|STANDARD|0|Miami||Sweetwater, West Miami|FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.71|-80.58|6050
33195|STANDARD|0|Miami|Doral, Medley|Reshipper|FL|Miami-Dade County|America/New_York|786|NA|US|25.79|-80.31|850
33196|STANDARD|0|Miami|||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.65|-80.49|48360
