,name,lat,lng,zip,parkrating
354,Creekside Canines,30.3861034,-81.66256349999999,32208,4.0
355,Joe Pomar Park,29.9117965,-81.33145139999999,32084,266.0
356,Pawsome Park (Tributary-Residents Only),30.6063747,-81.68729619999999,32097,9.0
357,Orange Park Dog Park,30.1710878,-81.7150949,32073,5.0
358,Palm Coast Dog Park,29.5610255,-81.21014459999999,32137,84.0
359,Dog Park,30.2363364,-81.6992212,32244,60.0
360,John Gorrie Dog Park of Riverside Park,30.3182667,-81.6810915,32204,1226.0
361,Ed Austin Regional Dog Park,30.3674645,-81.5035142,32225,1294.0
362,Barkley Square Dog Park,29.0433437,-81.3420026,32720,1614.0
363,Letty Towles Dog Park,29.1647466,-82.09201089999999,34470,902.0
364,Atlantic Beach Dog Park (Members Only),30.3260006,-81.4140236,32233,127.0
365,Keysville Dog Park,28.9383319,-81.2205571,32725,874.0
366,Veterans Park Dog Park,30.09271619999999,-81.56440669999999,32259,350.0
367,Seemor Memorial Park (Dog Park),29.0948642,-80.99266469999999,32127,356.0
368,Riviera Oaks Dog Park,29.2527079,-81.0652032,32117,690.0
369,Love's Dog Park,30.4634218,-81.67398999999999,32218,18.0
370,BrewHound Dog Park + Bar,30.3236096,-81.41830139999999,32266,2000.0
371,Daytona Beach Lenox Playground,29.215643,-81.00440700000001,32118,448.0
372,Haisley Lynch Dog Park,29.6479406,-82.32516,32601,-88.0
373,Good dog park,30.4587354,-81.6328316,32218,538.0
374,Paws Park (member only),30.2835359,-81.406302,32250,264.0
375,Tom Petty Dog Park,29.6635086,-82.3199515,32601,34.0
376,Must Love Dogs Park,29.607713,-82.40211699999999,32608,460.0
377,Van Alder Dog Park,29.1657435,-80.9796563,32118,130.0
378,South Mandarin Library Park (not off leash dog park),30.1498643,-81.63065019999999,32223,25.0
379,Creekside Canines,30.3861034,-81.66256349999999,32208,4.0
380,John Gorrie Dog Park of Riverside Park,30.3182667,-81.6810915,32204,1226.0
381,Ed Austin Regional Dog Park,30.3674645,-81.5035142,32225,1294.0
382,Davis Park Dog Run,30.11500359999999,-81.39871529999999,32081,66.0
383,Veterans Park Dog Park,30.09271619999999,-81.56440669999999,32259,350.0
384,Tommy Casey Memorial Dog Park,30.7332615,-81.5527161,31558,310.0
385,Shae Burchfield Memorial Paw Park,29.8335403,-81.3578686,32086,32.0
386,Joe Pomar Park,29.9117965,-81.33145139999999,32084,266.0
387,Creekside Canines,30.3861034,-81.66256349999999,32208,4.0
388,Paws Park (member only),30.2835359,-81.406302,32250,264.0
389,Epworth Dog Park,31.1767383,-81.4038109,31522,50.0
390,Good dog park,30.4587354,-81.6328316,32218,538.0
391,Love's Dog Park,30.4634218,-81.67398999999999,32218,18.0
392,Dog Park,30.2363364,-81.6992212,32244,60.0
393,Rivertown Dog Park,30.0366449,-81.62199960000001,32259,2.0
394,South Mandarin Library Park (not off leash dog park),30.1498643,-81.63065019999999,32223,25.0
395,Orange Park Dog Park,30.1716272,-81.71474119999999,32073,6.0
396,Dog Park,31.1467483,-81.47761910000001,31520,298.0
